iter	RMSLE_val	RMSE
0	0.3599783944	58357.99652
5	0.3479378893	56179.21073
10	0.3368061213	54168.59764
15	0.3267276272	52341.02195
20	0.316864136	50548.54569
25	0.3073310709	48815.15924
30	0.2987417219	47240.8887
35	0.2902606791	45687.32992
40	0.2825178299	44274.15261
45	0.2749550207	42887.1593
50	0.2677765686	41572.77897
55	0.2607965984	40302.12122
60	0.2540610332	39074.90488
65	0.2478124222	37942.70677
70	0.2419021987	36873.49795
75	0.2363153381	35860.40698
80	0.2308609275	34877.76786
85	0.2257776497	33966.48215
90	0.2208848492	33107.6003
95	0.2160886647	32249.91746
100	0.2114930904	31464.27744
105	0.2076015269	30752.41275
110	0.2035203136	30044.13944
115	0.1995824991	29358.44798
120	0.1956679834	28705.54434
125	0.191904719	28060.07454
130	0.188602535	27487.44093
135	0.1853216455	26926.72329
140	0.1822115465	26413.76466
145	0.1790409146	25890.91421
150	0.1762432026	25434.80672
155	0.1736893028	25003.54716
160	0.1709193321	24569.55637
165	0.1684045763	24168.55154
170	0.1659946741	23784.15368
175	0.1636964676	23417.61923
180	0.1616569959	23080.65534
185	0.1597671524	22759.79664
190	0.1576603708	22442.50262
195	0.1557285719	22151.04159
200	0.1538041711	21847.92561
205	0.1519845271	21585.2155
210	0.1503094045	21328.38024
215	0.1486062366	21070.64482
220	0.1470035537	20838.45997
225	0.1454606079	20631.06672
230	0.1441059815	20433.75002
235	0.1427051484	20227.48052
240	0.1414975919	20058.29717
245	0.1402437057	19874.49981
250	0.1390095236	19699.86834
255	0.1377421845	19527.61995
260	0.1366266475	19374.35106
265	0.1354785674	19218.63931
270	0.1344114836	19072.52489
275	0.1334240264	18919.07436
280	0.1323811282	18772.13284
285	0.1313154945	18624.53341
290	0.1303691581	18494.53075
295	0.1295530531	18370.45613
300	0.1288957975	18268.06283
305	0.1280588006	18160.4735
310	0.1270846615	18039.20099
315	0.1263587293	17941.2684
320	0.1256163504	17853.53388
325	0.1249350615	17761.45214
330	0.1243006587	17682.0535
335	0.1236610177	17600.95954
340	0.1229878821	17516.24816
345	0.122394338	17437.44919
350	0.1217970304	17363.34835
355	0.1211669762	17282.79823
360	0.1205818654	17207.78986
365	0.1200623506	17136.9727
370	0.1194614068	17058.04519
375	0.1189226482	16990.4731
380	0.1184955469	16924.27846
385	0.118005999	16862.14972
390	0.1175337154	16799.41912
395	0.1170217886	16733.13637
400	0.1165270524	16670.05506
405	0.1161406939	16616.97787
410	0.1157012453	16562.18037
415	0.1153419171	16504.44163
420	0.1149659572	16454.3564
425	0.1145242167	16401.52421
430	0.1142653568	16364.31093
435	0.1138912212	16312.52694
440	0.1135976911	16266.97009
445	0.1132966109	16228.26356
450	0.1129162789	16183.00405
455	0.1126012615	16140.16977
460	0.1122917071	16100.77209
465	0.1119984803	16060.13868
470	0.1117329071	16027.83585
475	0.1114755027	15988.05524
480	0.1112803797	15963.07285
485	0.1109947131	15927.19004
490	0.1107658364	15895.54585
495	0.1104686408	15863.12125
500	0.1102172736	15833.26279
505	0.1099018136	15789.50153
510	0.1095574579	15756.30244
515	0.1092964921	15728.27269
520	0.1090598259	15700.06733
525	0.108826936	15670.24784
530	0.1086278626	15643.34967
535	0.1083850115	15609.53524
540	0.1082393581	15585.36118
545	0.1080125543	15559.20477
550	0.107721404	15520.62581
555	0.1074967891	15495.12701
560	0.1073123336	15465.01909
565	0.1070478361	15437.7089
570	0.1068904477	15417.96773
575	0.1066582063	15392.58136
580	0.1064687392	15371.08704
585	0.1063044284	15342.48205
590	0.1061075333	15313.41144
595	0.1059005537	15287.77347
600	0.1056641694	15254.03649
605	0.1053935125	15214.50946
610	0.1052011059	15184.07914
615	0.1049887381	15158.36611
620	0.1048566856	15144.59256
625	0.1047404935	15127.91933
630	0.1046200505	15110.94806
635	0.1044595254	15089.835
640	0.1043333737	15067.15212
645	0.1041567545	15047.0284
650	0.1040369635	15030.19967
655	0.1039072295	15013.14643
660	0.1037081561	14990.38014
665	0.1035122764	14961.50338
670	0.1033393846	14940.04563
675	0.1031848335	14923.62522
680	0.1029752193	14892.76423
685	0.1028285974	14872.4513
690	0.1026050674	14843.85995
695	0.1025083842	14829.39545
700	0.1023341407	14807.53054
705	0.1021316922	14773.92433
710	0.1019619716	14753.70366
715	0.1018286521	14733.30586
720	0.1016356399	14707.35394
725	0.1014468672	14684.29622
730	0.1012516481	14657.21588
735	0.1010681852	14628.46348
740	0.1009479145	14614.62922
745	0.1008018908	14600.25532
750	0.1006703071	14579.59882
755	0.1005743446	14564.47889
760	0.1004036622	14536.60183
765	0.1002672383	14512.30502
770	0.1001696392	14497.31469
775	0.1001074946	14488.53394
780	0.09999929294	14470.05975
785	0.09991694254	14456.30809
790	0.09975386713	14437.79954
795	0.09962499029	14421.38962
800	0.09948429955	14398.9041
805	0.09933711103	14380.11443
810	0.09925512031	14371.89004
815	0.09916987987	14361.44969
820	0.09910009514	14348.56486
825	0.09898362542	14332.93624
830	0.09886739357	14315.0999
835	0.0987652809	14300.88343
840	0.09867763499	14292.24132
845	0.09854076418	14275.21656
850	0.09844913167	14263.39825
855	0.09832526043	14244.87403
860	0.09822752666	14226.1264
865	0.09808146998	14203.58517
870	0.09798034741	14188.86166
875	0.0979033102	14177.8451
880	0.09780977725	14167.13068
885	0.09769210956	14151.54901
890	0.09759226057	14136.56102
895	0.09750177397	14120.55489
900	0.09744447927	14110.76909
905	0.09732897952	14098.18961
910	0.09724701988	14085.55331
915	0.09716604126	14069.0139
920	0.09706828108	14057.36308
925	0.09699084335	14045.17049
930	0.0969250061	14034.32919
935	0.09689347007	14027.55824
940	0.09682013521	14013.13513
945	0.09674687129	13999.69173
950	0.09660492986	13982.20857
955	0.09649277065	13966.15577
960	0.09635636898	13947.48277
965	0.09622974904	13928.46763
970	0.09615729196	13917.37893
975	0.09606348644	13899.91593
980	0.09593710226	13885.5523
985	0.09581525964	13866.05323
990	0.09572567247	13853.10645
995	0.09560912234	13834.70122
1000	0.09547210319	13814.09485
1005	0.09536259084	13800.88061
1010	0.09527812649	13786.45759
1015	0.09520587049	13775.70891
1020	0.09514626734	13766.27861
1025	0.09500640653	13742.84693
1030	0.09493183346	13733.61163
1035	0.09486421392	13724.17913
1040	0.09479648854	13715.73414
1045	0.09470195317	13703.00449
1050	0.094626053	13686.35677
1055	0.09454314874	13674.24748
1060	0.09443141135	13663.08781
1065	0.09436306825	13652.57896
1070	0.09429984601	13646.03076
1075	0.09421801386	13633.74609
1080	0.09413699207	13619.07032
1085	0.09407448151	13611.40677
1090	0.09401026596	13600.66077
1095	0.09390819511	13584.54131
1100	0.09384157615	13573.76222
1105	0.09372511793	13556.13336
1110	0.09364389845	13544.02839
1115	0.09357359717	13535.19662
1120	0.09348148096	13520.10753
1125	0.0933207294	13500.41574
1130	0.09324090372	13489.59435
1135	0.09317039	13479.30061
1140	0.09304283293	13463.5393
1145	0.09292569913	13446.6241
1150	0.09287744353	13438.82127
1155	0.09282734674	13430.57352
1160	0.09276621177	13418.41906
1165	0.09266357351	13405.00063
1170	0.09252143915	13386.25558
1175	0.09240908662	13375.06474
1180	0.09228987595	13359.06948
1185	0.09224342006	13350.24014
1190	0.09218859374	13339.3989
1195	0.09212462925	13328.96623
1200	0.09207880484	13322.57961
1205	0.09197980688	13305.66497
1210	0.09193555054	13296.51338
1215	0.09190666878	13290.82702
1220	0.09182110571	13279.12243
1225	0.09175699841	13265.72093
1230	0.09168734645	13253.72434
1235	0.09160042418	13235.75813
1240	0.09155935515	13229.31208
1245	0.09153997721	13226.16009
1250	0.09148939234	13217.16854
1255	0.09145706799	13213.22771
1260	0.0914008098	13204.90908
1265	0.09132045916	13189.4068
1270	0.09125163486	13176.81706
1275	0.09121825021	13173.27081
1280	0.09113485218	13160.00599
1285	0.09107730494	13151.97095
1290	0.0910006302	13144.18797
1295	0.09096540173	13138.9795
1300	0.09093720529	13133.22202
1305	0.0908609623	13121.69483
1310	0.09074488688	13108.05135
1315	0.09066505887	13092.30189
1320	0.09059645117	13082.9
1325	0.09053185261	13074.57444
1330	0.09047086483	13065.95582
1335	0.09042508457	13057.48601
1340	0.09036464095	13046.85017
1345	0.09031368837	13038.1259
1350	0.0902736198	13028.41921
1355	0.09019408364	13019.7448
1360	0.09012342036	13008.7979
1365	0.09007897089	13002.4033
1370	0.09003160659	12994.22259
1375	0.08998657003	12987.9279
